Year,Series,Education level,Institution type,Value
2016,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Public Institutions,90
2017,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Public Institutions,90
2018,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Public Institutions,90
2019,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Public Institutions,93
2020,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Public Institutions,93
2021,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Public Institutions,93
2022,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Public Institutions,93
2023,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Public Institutions,93
2024,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Public Institutions,93
2025,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Public Institutions,93
2015,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Private Institutions,82
2016,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Private Institutions,87
2017,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Private Institutions,90
2018,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Private Institutions,90
2019,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Private Institutions,90
2020,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Private Institutions,90
2021,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Private Institutions,90
2022,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Private Institutions,90
2023,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Private Institutions,92
2024,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Private Institutions,93
2025,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Private Institutions,93
