Year,Series,Sex,Migratory Status,Units,Value
2019,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",0.53
2020,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",2.12
2021,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",1.56
2022,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",4.6
2023,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",1.54
2016,"Fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",0.0
2017,"Fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",0.0
2018,"Fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",0.0
2019,"Fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",0.0
2020,"Fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",1.36
2021,"Fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",0.0
2022,"Fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",0.0
2023,"Fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",0.0
2016,"Fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",1.87
2017,"Fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",0.0
2018,"Fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",0.88
2019,"Fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",0.86
2020,"Fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",2.6
2021,"Fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",2.58
2022,"Fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",7.78
2023,"Fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",2.68
2016,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",1799.92
2016,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",867.88
2016,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",2503.73
2016,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",1339.69
2016,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",763.73
2016,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",1758.83
2016,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",1873.15
2016,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",884.05
2016,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",2624.44
2017,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",1695.61
2017,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",792.15
2017,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",2376.77
2017,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",1220.18
2017,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",459.64
2017,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",1817.63
2017,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",1783.13
2017,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",855.07
2017,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",2477.55
2018,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",1606.27
2018,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",737.32
2018,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",2269.2
2018,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",1262.64
2018,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",461.75
2018,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",2041.48
2018,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",1697.86
2018,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",824.23
2018,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",2321.96
2019,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",1538.11
2019,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",806.48
2019,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",2078.85
2019,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",1274.64
2019,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",620.14
2019,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",1835.23
2019,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",1620.97
2019,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",871.86
2019,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",2149.23
2020,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",1074.76
2020,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",446.19
2020,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",1555.84
2020,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",946.45
2020,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",273.56
2020,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",1553.32
2020,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",1118.15
2020,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",512.12
2020,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",1556.61
2021,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",1078.3
2021,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",522.71
2021,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",1511.16
2021,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",919.42
2021,"Non-fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",395.83
2021,"Non-fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",1381.23
2021,"Non-fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",1138.0
